index,desc,Seri,RAM Kapasitesi,Dahili Hafıza,Batarya Kapasitesi,Ekran Boyutu,Ekran Çözünürlüğü,Ekran Yenileme Hızı,Ekran Teknolojisi,Ekran Parlaklık Değeri,Çıkış Yılı,Piksel Yoğunluğu,Ekran Gövde Oranı,Ekran Dayanıklılığı,NR - Display,NR - Performance,NR - Battery,NR - Camera,Arka Kamera Sayısı,Arka Kamera,İkinci Arka Kamera,Üçüncü Arka Kamera,Dördüncü Arka Kamera,Video Kayıt Çözünürlüğü,Video FPS Değeri,Ön Kamera,Ön Kamera Video Çözünürlüğü,Ön Kamera Video FPS Değeri,İşletim Sistemi,İşlemci (CPU),İşlemci Hızı,Çekirdek Sayısı,Grafik İşlemcisi (GPU),Chipset,Ağırlık,Boyut, Fiyat ,Fiyat_int,RAM_Kapasitesi_int,Hafiza_Kapasitesi_GB,Agirlik_int,image_url,marka
23,Samsung Galaxy A35 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.6 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2024,390 PPI,84.47%,Corning Gorilla Glass Victus+,84,43,71,59,3 Kameralı,50 MP,8 MP,5 MP,x,4K Ultra HD,30 fps,13 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68 MP5,Exynos 1380,209 gr,161.7x78.0x8.2 mm," 14.899,00 TL ",14899,8.0,256,209.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a35-256-gb.jpg,Samsung
24,Samsung Galaxy A35 128 GB,Samsung Galaxy,8 GB,128 GB,5000 mAh,6.6 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2024,390 PPI,84.47%,Corning Gorilla Glass Victus+,84,43,71,59,3 Kameralı,50 MP,8 MP,5 MP,x,4K Ultra HD,30 fps,13 MP,4K Ultra HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68 MP5,Exynos 1380,209 gr,161.7x78.0x8.2 mm," 14.156,01 TL ",14156,8.0,128,209.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a35.jpg,Samsung
25,Samsung Galaxy A34 256 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.69 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2023,390 PPI,84.16%,Corning Gorilla Glass 5,78,40,80,49,3 Kameralı,48 MP,8 MP,5 MP,-,4K Ultra HD,30 fps,13 MP,2K Ultra HD,30 fps,Android,Cortex A78,2.6 GHz,8,Mali-G68 MC4,MediaTek Dimensity 1080,199 gr,161.3x78.1x8.2 mm," 17.550,00 TL ",17550,8.0,256,199.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a34-256-gb.jpg,Samsung
26,Samsung Galaxy A26 256 GB 8 GB,Samsung Galaxy,8 GB,256 GB,5000 mAh,6.7 inç,1080x2340 px,120 Hz,Super AMOLED,-,2025,385 PPI,86.7%,Corning Gorilla Glass Victus+,81,41,60,55,3 Kameralı,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,13 MP,Full HD,60 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68 MP5,Exynos 1380,200 gr,164x77.5x7.7 mm," 14.689,00 TL ",14689,8.0,256,200.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a26.jpg,Samsung
27,Samsung Galaxy A25 128 GB 6 GB Siyah,Samsung Galaxy,6 GB,128 GB,5000 mAh,6.5 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2023,396 PPI,83.71%,-,82,36,61,53,3 Kameralı,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68,Exynos 1280,197 gr,161x76.5x8.3 mm," 11.399,00 TL ",11399,6.0,128,197.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a25-128-gb-siyah.jpg,Samsung
28,Samsung Galaxy A24 128 GB,Samsung Galaxy,6 GB,128 GB,5000 mAh,6.5 inç,1080x2340 px,90 Hz,Super AMOLED,1000 nits,2023,396 PPI,81.97%,-,70,32,83,35,3 Kameralı,50 MP,5 MP,2 MP,x,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G99,195 gr,162.1x77.6x8.3 mm," 11.327,04 TL ",11327,6.0,128,195.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a24.jpg,Samsung
29,Samsung Galaxy A15 128 GB 4 GB,Samsung Galaxy,4 GB,128 GB,5000 mAh,6.5 inç,1080x2340 px,90 Hz,Super AMOLED,800 nits,2023,396 PPI,83.86%,x,71,30,72,32,3 Kameralı,50 MP,5 MP,2 MP,x,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G99,200 gr,160.1x76.8x8.4 mm," 8.336,20 TL ",8336,4.0,128,200.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a15.jpg,Samsung
30,Samsung Galaxy A14 128 GB,Samsung Galaxy,4 GB,128 GB,5000 mAh,6.6 inç,1080x2408 px,60 Hz,PLS,-,2023,400 PPI,79.76%,x,54,18,61,33,3 Kameralı,50 MP,5 MP,2 MP,-,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G80,201 gr,167.7x78.0x9.1 mm," 9.385,20 TL ",9385,4.0,128,201.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a14.jpg,Samsung
31,Samsung Galaxy A06 128 GB,Samsung Galaxy,4 GB,128 GB,5000 mAh,6.7 inç,720x1600 px,60 Hz,IPS LCD,-,2024,262 PPI,83.1%,x,49,21,73,38,2 Kameralı,50 MP,2 MP,-,x,Full HD,60 fps,8 MP,-,-,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G85,189 gr,167.3x77.3x8 mm," 6.326,60 TL ",6326,4.0,128,189.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a06.jpg,Samsung
32,Samsung Galaxy A05 128 GB,Samsung Galaxy,4 GB,128 GB,5000 mAh,6.7 inç,720x1600 px,60 Hz,PLS,x,2023,262 PPI,81.42%,x,47,21,67,33,2 Kameralı,50 MP,2 MP,-,x,Full HD,60 fps,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G57 MC2,MediaTek Helio G85,195 gr,168.8x78.2x8.8 mm," 7.362,50 TL ",7362,4.0,128,195.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a05.jpg,Samsung
33,Samsung Galaxy A05s 128 GB,Samsung Galaxy,4 GB,128 GB,5000 mAh,6.7 inç,1080x2400 px,90 Hz,PLS,-,2023,393 PPI,-,x,63,22,71,45,3 Kameralı,50 MP,2 MP,2 MP,x,Full HD,60 fps,13 MP,Full HD,30 fps,Android,Cortex A73,2.4 GHz,8,Adreno 610,Snapdragon 680,194 gr,168x77.8x8.8 mm," 8.000,00 TL ",8000,4.0,128,194.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-a05s.jpg,Samsung
34,Samsung Galaxy M34 128 GB,Samsung Galaxy,6 GB,128 GB,6000 mAh,6.5 inç,1080x2340 px,120 Hz,Super AMOLED,1000 nits,2023,396 PPI,82.6%,Corning Gorilla Glass 5,78,36,85,40,3 Kameralı,50 MP,8 MP,2 MP,x,4K Ultra HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A78,2.4 GHz,8,Mali-G68,Exynos 1280,208 gr,-," 14.099,00 TL ",14099,6.0,128,208.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-m34.jpg,Samsung
35,Samsung Galaxy M15 128 GB,Samsung Galaxy,4 GB,128 GB,6000 mAh,6.5 inç,1080x2340 px,90 Hz,Super AMOLED,800 nits,2024,396 PPI,-,-,72,31,80,35,3 Kameralı,50 MP,5 MP,2 MP,x,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,Mediatek Dimensity 6100+,217 gr,160.1x76.8x9.3 mm," 10.989,00 TL ",10989,4.0,128,217.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-m15.jpg,Samsung
36,Samsung Galaxy M12 64 GB,Samsung Galaxy,4 GB,64 GB,5000 mAh,6.5 inç,720x1600 px,90 Hz,PLS,x,2021,270 PPI,81.23%,x,47,20,67,31,4 Kameralı,48 MP,5 MP,2 MP,2 MP,Full HD,30 fps,8 MP,Full HD,30 fps,Android,Cortex A55,2.0 GHz,8,Mali-G52 MP1,Exynos 850,214 gr,164x75.9x9.7 mm," 7.772,65 TL ",7772,4.0,64,214.0,https://cdn.akakce.com/x/samsung/samsung-galaxy-m12-64-gb.jpg,Samsung
37,iPhone 16 Pro Max 1 TB,iPhone 16 Pro Max,8 GB,1 TB,-,6.9 inç,2868x1320 px,120 Hz,OLED,2000 nits,2024,460 PPI,-,Corning Ceramic Shield Glass,92,92,95,97,3 Kameralı,48 MP,48 MP,12 MP,-,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,-,6,6xApple GPU,A18 Pro,227 gr,-," 119.000,00 TL ",119000,8.0,1024,227.0,https://cdn.akakce.com/x/apple/iphone-16-pro-max-1-tb.jpg,Apple
38,iPhone 16 Pro Max 512 GB,iPhone 16 Pro Max,8 GB,512 GB,-,6.9 inç,2868x1320 px,120 Hz,OLED,2000 nits,2024,460 PPI,-,Corning Ceramic Shield Glass,92,92,95,97,3 Kameralı,48 MP,48 MP,12 MP,-,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,-,6,6xApple GPU,A18 Pro,227 gr,163x77.6x8.25 mm," 95.999,93 TL ",95999,8.0,512,227.0,https://cdn.akakce.com/x/apple/apple-iphone-16-pro-max-512-gb.jpg,Apple
39,iPhone 16 Pro Max 256 GB,iPhone 16 Pro Max,8 GB,256 GB,-,6.9 inç,FHD+ 1320x2868 piksel,120 Hz,OLED,2000 nits,2024,460 PPI,-,Corning Ceramic Shield Glass,92,92,95,97,3 Kameralı,48 MP,48 MP,12 MP,-,2160p 4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,-,6,6xApple GPU,A18 Pro,227 gr,163x77.6x8.25 mm," 88.599,00 TL ",88599,8.0,256,227.0,https://cdn.akakce.com/x/apple/iphone-16-pro-max.jpg,Apple
40,iPhone 16 Pro 128 GB,iPhone 16 Pro,8 GB,128 GB,-,6.3 inç,FHD+ 1206x2622 piksel,120 Hz,OLED,2000 nits,2024,460 PPI,-,Corning Ceramic Shield Glass,92,93,84,97,3 Kameralı,48 MP,48 MP,12 MP,x,2160p (Ultra HD) 4K,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,-,6,6xApple GPU,A18 Pro,199 gram,149.6x71.5x8.25mm," 75.999,00 TL ",75999,8.0,128,199.0,https://cdn.akakce.com/x/apple/iphone-16-pro-128-gb.jpg,Apple
41,iPhone 16 Plus 512 GB,iPhone 16 Plus,8 GB,512 GB,-,6.7 inç,1290x2796 px,60 Hz,OLED,2000 nits,2024,460 PPI,x,-,77,90,95,89,2 Kameralı,48 MP,12 MP,-,x,Full HD,60 fps,12 MP,Full HD,-,iOS,x,x,-,5xApple GPU,A18,199 gr,-," 82.699,00 TL ",82699,8.0,512,199.0,https://cdn.akakce.com/x/apple/iphone-16-plus-512-gb.jpg,Apple
42,iPhone 16 Plus 256 GB,iPhone 16 Plus,8 GB,256 GB,-,6.7 inç,1290x2796 px,60 Hz,OLED,2000 nits,2024,460 PPI,-,-,77,90,95,89,2 Kameralı,48 MP,12 MP,-,x,Full HD,60 fps,12 MP,Full HD,-,iOS,x,-,-,5xApple GPU,A18,199 gr,-," 74.349,00 TL ",74349,8.0,256,199.0,https://cdn.akakce.com/x/apple/apple-iphone-16-plus-256-gb.jpg,Apple
43,iPhone 16 Plus 128 GB,iPhone 16 Plus,8 GB,128 GB,-,6.7 inç,FHD+ 1290 x 2796 piksel,60 Hz,OLED,2000 nits,2024,460 PPI,-,Corning Ceramic Shield Glass,77,90,95,89,2 Kameralı,48 MP,12 MP,-,x,2160p (Ultra HD) 4K,60 fps,12 MP,Full HD,30 fps,iOS,x,-,6,5xApple GPU,A18,199 gr,160.9x77.8x7.80 mm," 69.799,00 TL ",69799,8.0,128,199.0,https://cdn.akakce.com/x/apple/iphone-16-plus.jpg,Apple
44,iPhone 16e 256 GB,-,8 GB,256 GB,x,6.1 inç,1170x2532 px,60 Hz,OLED,1200 nits,2025,460 PPI,x,Corning Ceramic Shield Glass,71,88,73,74,1 Kameralı,48 MP,-,-,x,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,4.04 GHz,6,4xApple GPU,A18,167 gr,146.7x71.5x7.8 mm," 50.099,00 TL ",50099,8.0,256,167.0,https://cdn.akakce.com/x/apple/iphone-16e-256-gb.jpg,Apple
45,iPhone 16e 128 GB,-,8 GB,128 GB,-,6.1 inç,1170 x 2532 px,60 Hz,OLED,1200 nits,2025,460 PPI,-,Corning Ceramic Shield Glass,71,88,73,74,1 Kameralı,48 MP,-,x,x,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,4.04 GHz,6,4xApple GPU,A18,167 gr,146.7x71.5x7.8 mm," 42.929,00 TL ",42929,8.0,128,167.0,https://cdn.akakce.com/x/apple/iphone-16e.jpg,Apple
46,iPhone 15 Pro Max 1 TB,iPhone 15 Pro Max,-,1 TB,-,6.7 inç,2796x1290 px,120 Hz,OLED,2000 nits,2023,460 PPI,89.1%,-,89,88,93,95,3 Kameralı,48 MP,12 MP,12 MP,-,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,-,6,6xApple GPU,A17 Bionic,221 gr,159.9x76.7x8.25 mm," 99.949,00 TL ",99949,,1024,221.0,https://cdn.akakce.com/x/apple/iphone-15-pro-max-1-tb.jpg,Apple
47,iPhone 15 Pro Max 512 GB,iPhone 15 Pro Max,8 GB,512 GB,4422 mAh,6.7 inç,2796x1290 px,120 Hz,OLED,2000 nits,2023,460 PPI,89.1%,Corning Ceramic Shield Glass,89,88,93,95,3 Kameralı,48 MP,12 MP,12 MP,-,4K Ultra HD,60 fps,12 MP,-,60 fps,iOS,-,3.64 GHz,6,6xApple GPU,A17 Pro,221 gr,159.9x76.7x8.25 mm," 93.899,00 TL ",93899,8.0,512,221.0,https://cdn.akakce.com/x/apple/iphone-15-pro-max-512-gb.jpg,Apple
48,iPhone 15 Pro Max 256 GB,iPhone 15 Pro Max,8 GB,256 GB,4422 mAh,6.7 inç,2796x1290 px,120 Hz,OLED,2000 nits,2023,460 PPI,89.1%,Corning Ceramic Shield Glass,89,88,93,95,3 Kameralı,48 MP,12 MP,12 MP,-,2160p (Ultra HD) 4K,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,3.64 GHz,6,6xApple GPU,A17 Pro,221 gr,159.9x76.7x8.25 mm," 92.000,00 TL ",92000,8.0,256,221.0,https://cdn.akakce.com/x/apple/iphone-15-pro-max.jpg,Apple
49,iPhone 15 Pro 128 GB,iPhone 15 Pro,8 GB,128 GB,3274 mAh,6.1 inç,1179x2556 px,120 Hz,OLED,2000 nits,2023,460 PPI,87.35%,Corning Ceramic Shield Glass,89,88,72,94,3 Kameralı,48 MP,12 MP,12 MP,x,2160p (Ultra HD) 4K,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,3.64 GHz,6,6xApple GPU,A17 Pro,187 gr,146.6x70.6x8.25 mm," 85.439,04 TL ",85439,8.0,128,187.0,https://cdn.akakce.com/x/apple/iphone-15-pro.jpg,Apple
50,iPhone 15 Plus 512 GB,iPhone 15 Plus,6 GB,512 GB,4383 mAh,6.7 inç,2796x1290 px,60 Hz,OLED,2000 nits,2023,460 PPI,86.73%,Corning Ceramic Shield Glass,74,80,89,88,2 Kameralı,48 MP,12 MP,-,-,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,-,3.46 GHz,6,5xApple GPU,A16 Bionic,201 gr,160.9x77.8x7.80 mm," 70.499,06 TL ",70499,6.0,512,201.0,https://cdn.akakce.com/x/apple/iphone-15-plus-512-gb.jpg,Apple
51,iPhone 15 Plus 256 GB,iPhone 15 Plus,6 GB,256 GB,4383 mAh,6.7 inç,2796x1290 px,60 Hz,OLED,2000 nits,2023,460 PPI,86.73%,Corning Ceramic Shield Glass,74,80,89,88,2 Kameralı,48 MP,12 MP,-,x,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,3.46 GHz,6,5xApple GPU,A16 Bionic,201 gr,160.9x77.8x7.80 mm," 63.999,00 TL ",63999,6.0,256,201.0,https://cdn.akakce.com/x/apple/iphone-15-plus-256-gb.jpg,Apple
52,iPhone 15 Plus 128 GB,iPhone 15 Plus,6 GB,128 GB,4383 mAh,6.7 inç,2796x1290 px,60 Hz,OLED,2000 nits,2023,460 PPI,86.73%,Corning Ceramic Shield Glass,74,80,89,88,2 Kameralı,48 MP,12 MP,-,x,4K Ultra HD,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,3.46 GHz,6,5xApple GPU,A16 Bionic,201 Gram,160.9x77.8x7.80 mm," 58.839,00 TL ",58839,6.0,128,201.0,https://cdn.akakce.com/x/apple/apple-iphone-15-plus.jpg,Apple
53,iPhone 15 128 GB,iPhone 15,6 GB,128 GB,3349 mAh,6.1 inç,2556x1179 px,60 Hz,OLED,2000 nits,2023,460 PPI,85.55%,Corning Ceramic Shield Glass,73,81,74,88,2 Kameralı,48 MP,12 MP,x,x,2160p (Ultra HD) 4K,60 fps,12 MP,4K Ultra HD,60 fps,iOS,x,3.46 GHz,6,5xApple GPU,A16 Bionic,171 gr,147.6x71.6x7.8 mm," 51.149,00 TL ",51149,6.0,128,171.0,https://cdn.akakce.com/x/apple/iphone-15.jpg,Apple
54,Xiaomi 15 512 GB,Xiaomi 15,12 GB,512 GB,5240 mAh,6.36 inç,1200 x 2670 px,120 Hz,AMOLED,3200 nits,2025,460 PPI,90%,-,93,96,100,90,3 Kameralı,50 MP,50 MP,50 MP,x,8K Ultra HD,60 fps,32 MP,4K Ultra HD,30 fps,Android,Oryon V2 Phoenix L,4.32 GHz,8,Adreno,Snapdragon 8 Elite,191 gr,152.3x71.2x8.1 mm," 49.766,87 TL ",49766,12.0,512,191.0,https://cdn.akakce.com/x/xiaomi/xiaomi-15.jpg,Xiaomi
55,Xiaomi 15 256 GB,Xiaomi 15,12 GB,256 GB,5240 mAh,6.36 inç,1200x2670 px,120 Hz,AMOLED,3200 nits,2025,460 PPI,90%,x,93,96,100,90,3 Kameralı,50 MP,50 MP,50 MP,-,8K Ultra HD,60 fps,32 MP,4K Ultra HD,30 fps,Android,Oryon V2 Phoenix L,4.32 GHz,8,Adreno,Snapdragon 8 Elite,191 gr,152.3x71.2x8.1 mm," 49.249,00 TL ",49249,12.0,256,191.0,https://cdn.akakce.com/x/xiaomi/xiaomi-15-256-gb.jpg,Xiaomi
56,Xiaomi 15 UItra 512 GB,-,16 GB,512 GB,5410 mAh,6.73 inç,1440 x 3200 px,120 Hz,AMOLED,3200 nits,2025,522 PPI,89.7%,-,97,97,97,95,4 Kameralı,200 MP,50 MP,50 MP,50 MP,8K Ultra HD,30 fps,32 MP,4K Ultra HD,60 fps,Android,Oryon V2 Phoenix L,4.32 GHz,8,Adreno,Snapdragon 8 Elite,226 gr,-," 78.998,88 TL ",78998,16.0,512,226.0,https://cdn.akakce.com/x/xiaomi/xiaomi-15-uitra.jpg,Xiaomi
57,Xiaomi 14T Pro 512 GB,Xiaomi 14T Pro,12 GB,512 GB,5.000 mAh,6.67 inç,FHD+ 1220x2712 Piksel,144 Hz,AMOLED,4000 nits,2024,446 PPI,89.1%,-,92,85,78,83,3 Kameralı,50 MP,50 MP,12 MP,x,4320p Ultra HD 8K,30 fps,32 MP,Full HD,30 fps,Android,Cortex X4,3.4 GHz,8,Immortalis-G720 MC12,Mediatek Dimensity 9300+,209 gr,160.4x75.1x8.39 mm," 30.540,00 TL ",30540,12.0,512,209.0,https://cdn.akakce.com/x/xiaomi/xiaomi-14t-pro.jpg,Xiaomi
58,Xiaomi 14 Ultra 512 GB,-,16 GB,512 GB,5000 mAh,6.73 inç,1440x3200  px,120 Hz,AMOLED,3000 nits,2024,522 PPI,%89.77,Xiaomi Longjing Glass,94,85,76,92,4 Kameralı,50 MP,50 MP,50 MP,50 MP,4320p Ultra HD 8K,30 fps,32 MP,2160p Ultra HD 4K,60 fps,Android,Cortex X4,3.3 GHz,8,-,Snapdragon 8 Gen 3,225 gr,161.4x75.3x9.2 mm," 73.422,78 TL ",73422,16.0,512,225.0,https://cdn.akakce.com/x/xiaomi/xiaomi-14-ultra.jpg,Xiaomi
59,Xiaomi 13 Ultra 256 GB 12 GB,-,12 GB,256 GB,5000 mAh,6.73 inç,1440x3200  px,120 Hz,OLED,2600 nits,2023,522 PPI,-,Corning Gorilla Glass Victus,91,76,80,84,4 Kameralı,50 MP,50 MP,50 MP,50 MP,4320p (Ultra HD) 8K,24 fps,32 MP,Full HD,30 fps,Android,Cortex X3,3.2 GHz,8,-,Snapdragon 8 Gen 2,227 gr,163.18x74.64x9.06 mm," 44.857,19 TL ",44857,12.0,256,227.0,https://cdn.akakce.com/x/xiaomi/xiaomi-13-ultra-256-gb-siyah.jpg,Xiaomi
60,Xiaomi 13T Pro 512 GB,-,12 GB,512 GB,5000 mAh,6.67 inç,1220x2712 px,144 Hz,AMOLED,2600 nits,2023,446 PPI,87.25%,Corning Gorilla Glass 5,87,73,75,78,3 Kameralı,50 MP,50 MP,12 MP,x,8K Ultra HD,24 fps,20 MP,Full HD,30 fps,Android,Cortex X3,3.35 GHz,8,Arm Immortalis-G715,MediaTek Dimensity 9200+,206 gr,162.2x75.7x8.62 mm," 24.885,00 TL ",24885,12.0,512,206.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-13-pro-plus.jpg,Xiaomi
61,Xiaomi 13 Lite 256 GB,-,8 GB,256 GB,4500 mAh,6.55 inç,1080x2400 px,120 Hz,AMOLED,1000 nits,2023,402 PPI,88.72%,Corning Gorilla Glass 5,81,41,68,54,3 Kameralı,50 MP,8 MP,2 MP,-,4K Ultra HD,30 fps,32 MP,Full HD,60 fps,Android,Cortex A710,2.4 GHz,8,Adreno 644,Snapdragon 7 Gen 1,171 gr,159.2x72.7x7.23 mm," 20.199,00 TL ",20199,8.0,256,171.0,https://cdn.akakce.com/x/xiaomi/xiaomi-13-lite.jpg,Xiaomi
62,Xiaomi MIX Flip 512 GB,Xiaomi MIX Flip,12 GB,512 GB,4.780 mAh,6.86 inç,2912x1224 px,120 Hz,AMOLED,3000 nits,2024,460 PPI,-,-,88,81,79,86,2 Kameralı,50 MP,50 MP,-,-,4320p Ultra HD 8K,24 fps,32 MP,4K Ultra HD,60 fps,Android,Cortex X4,3.3 GHz,8,-,Snapdragon 8 Gen 3,192 gr,167.5x74.02x7.6 mm," 47.450,32 TL ",47450,12.0,512,192.0,https://cdn.akakce.com/x/xiaomi/xiaomi-mi-mix-flip.jpg,Xiaomi
63,Xiaomi Redmi Note 14 Pro Plus 512 GB,Xiaomi Redmi,8 GB,512 GB,6200 mAh,6.67 inç,1220 x 2712 px,120 Hz,AMOLED,3000 nits,2024,446 PPI,88.49%,Corning Gorilla Glass Victus 2,92,49,79,80,3 Kameralı,200 MP,8 MP,2 MP,x,4K Ultra HD,60 fps,20 MP,Full HD,30 fps,Android,Cortex A720,2.5 GHz,8,Adreno 710,Snapdragon 7s Gen 3,210 gr,162.5x74.8x8.6 mm," 23.930,40 TL ",23930,8.0,512,210.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-14-pro-plus.jpg,Xiaomi
64,Xiaomi Redmi Note 14 256 GB,Xiaomi Redmi,8 GB,256 GB,5500 mAh,6.67 inç,1080 x 2400 px,120 Hz,AMOLED,1800 nits,2025,395 PPI,85.9%,Corning Gorilla Glass 5,88,39,70,63,3 Kameralı,108 MP,2 MP,2 MP,x,Full HD,30 fps,20 MP,Full HD,60 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G99-Ultra,196.5 gram,163.25x76.55x8.16 mm," 11.674,99 TL ",11674,8.0,256,196.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-14.jpg,Xiaomi
65,Xiaomi Redmi Note 13 Pro Plus 5G 512 GB,Xiaomi Redmi,12 GB,512 GB,5000 mAh,6.67 inç,FHD+ 1220x2712 piksel,120 Hz,AMOLED,1800 nits,2023,446 PPI,%89.46,Corning Gorilla Glass Victus,88,50,69,66,3 Kameralı,200 MP,8 MP,2 MP,x,2160p Ultra HD 4K,30 fps,16 MP,Full HD,60 fps,Android,Cortex A715,2.8 GHz,8,Mali-G610 MC4,MediaTek Dimensity 7200 Ultra,204 gr,161.4x74.2x8.9 mm," 16.000,00 TL ",16000,12.0,512,204.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-13-pro-plus.jpg,Xiaomi
66,Xiaomi Redmi Note 13 Pro 256 GB 8 GB,Xiaomi Redmi,8 GB,256 GB,5000 mAh,6.67 inç,FHD+ 1080x2400 piksel,120 Hz,AMOLED,1300 nits,2024,395 PPI,"88,71%",Corning Gorilla Glass 5,88,46,72,64,3 Kameralı,200 MP,8 MP,2 MP,x,1080p Full HD,60 fps,16 MP,Full HD,60 fps,Android,Cortex A76,2.2 GHz,8,Mali-G57 MC2,MediaTek Helio G99,188 gr,161.1x74.95x7.98 mm," 10.600,00 TL ",10600,8.0,256,188.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-13-pro.jpg,Xiaomi
67,Xiaomi Redmi 13C 256 GB 8 GB,Xiaomi Redmi,8 GB,256 GB,5000 mAh,6.74 inç,720x1600 px,90 Hz,IPS LCD,600 nits,2023,260 PPI,83.01%,Corning Gorilla Glass,56,22,76,34,3 Kameralı,50 MP,2 MP,-,x,Full HD,30 fps,8 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,8,Mali-G52 MC2,MediaTek Helio G85,192 gr,168x78x8.09 mm," 8.125,00 TL ",8125,8.0,256,192.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-13c-256-gb-beyaz.jpg,Xiaomi
68,Xiaomi Redmi 14C 256 GB 8 GB,Xiaomi Redmi,8 GB,256 GB,5160 mAh,6.88 inç,720x1640 px,120 Hz,-,600 nits,-,260 PPI,-,-,64,22,78,42,1 Kameralı,50 MP,-,-,x,Full HD,30 fps,13 MP,Full HD,30 fps,Android,Cortex A75,2.0 GHz,-,Mali-G52 MC2,-,207 gr,-," 7.799,00 TL ",7799,8.0,256,207.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-14c-256-gb-8-gb.jpg,Xiaomi
69,Xiaomi Redmi Note 12 Pro 5G 256 GB,Xiaomi Redmi,8 GB,256 GB,5000 mAh,6.67 inç,1080 x 2400 px,120 Hz,AMOLED,900 nits,2022,395 PPI,-,Corning Gorilla Glass 5,81,34,62,52,3 Kameralı,50 MP,8 MP,2 MP,-,4K Ultra HD,30 fps,16 MP,Full HD,60 fps,Android,Cortex A78,2.6 GHz,8,Mali-G68,MediaTek Dimensity 1080,187 gram,162.9x74.6x8.38 mm," 10.949,00 TL ",10949,8.0,256,187.0,https://cdn.akakce.com/x/xiaomi/xiaomi-redmi-note-12-pro-5g-256-gb.jpg,Xiaomi
